Sort,Batch Job Group,Batch Job Group Name,Batch Job,Batch Job Name,Batch Task (IK),Extracts Exporter,Extraction Setup,Extraction Dedinitions,Data Format Setup,Extract Table,Data Import,Data Import Mapping,Data Import Rule,Reference File Import,Reference File Export,Create Job,Portfolio Calculation,General Reconciliation,Corporate Action Manager Setup
25,TRN_CASH,Cash Transactions,RECON_INT_UNIT_2_ARC,Reconciliation - Internal - Participation Rate - Register vs SCD - Archive Results,Extracts Exporter Definitions - Execute,RECON_INT_UNIT_2_ARC,RECON_INT_UNIT_2_ARC,RECON_INT_UNIT_2_ARC,,,,,,,RECON_INT_U2_ARC,,,,
26,TRN_CASH,Cash Transactions,RECON_INT_UNIT_2_PFC,Reconciliation - Internal - Participation Rate - Register vs SCD,Portfolio Calculation - Execute,,,,,,,,,,,,RECON_UNITS,,
27,TRN_CASH,Cash Transactions,RECON_INT_UNIT_2_GR,Reconciliation - Internal - Participation Rate - Register vs SCD - General Rec.,General Reconciliation - Execute,,,,,,,,,RECON_INT_UNIT_2,,,,INT_UNIT_2,
28,TRN_CASH,Cash Transactions,REC_UNIT_2_MAIL,Reconciliation - Internal - Participation Rate - Register vs SCD - Email Notification,System - Send Mail,,,,,,,,,,,,,,
1,TRN_CASH_MANUAL,Cash transactions - manual import,DM_DFS_TRN_FUND_M_U,Data - Import of Fund/Pool Investment transaction- Cancel - Manual,Data Format Setup - Execute - Import to Message Queue,,,,TRN_FUND_PO_INV_U,,,,,DFS_CASH_FU_M_U,,,,,
2,TRN_CASH_MANUAL,Cash transactions - manual import,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
3,TRN_CASH_MANUAL,Cash transactions - manual import,DM_DFS_TRN_FUND_M_N,Data - Import of Fund/Pool Investment transaction- Active - Manual,Data Format Setup - Execute - Import to Message Queue,,,,TRN_FUND_PO_INV_N,,,,,DFS_CASH_FU_M_N,,,,,
1,TRN_CASHTRANS_MANUAL,Manual import of Cash Transfer,DM_DFS_CASH_TR_MU,Data - Cash transfer Cancelled,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CASH_TRANSFER_U,,,,,DFS_CASH_TR_U_MU,,,,,
2,TRN_CASHTRANS_MANUAL,Manual import of Cash Transfer,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
3,TRN_CASHTRANS_MANUAL,Manual import of Cash Transfer,DM_DFS_CASH_TR_MN,Data - Cash transfer Active - Manual,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CASH_TRANSFER_N,,,,,DFS_CASH_TR_MN,,,,,
4,TRN_CASHTRANS_MANUAL,Manual import of Cash Transfer,DM_ARCHIVE_CASHTRANS,Archive file,File Operation - Move File,,,,,,,,,DFS_CASHTRANS_MF,DFS_CASHTRANS_MT,,,,
1,TRN_CCC_MANUAL,Manual import of Charge/Credit Cash,DM_DFS_TRN_CCC_MU,Charge/Credit Cash - Cancel - Manual,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CH_CR_CASH_U,,,,,DFS_CASH_CCC_MU,,,,,
2,TRN_CCC_MANUAL,Manual import of Charge/Credit Cash,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
3,TRN_CCC_MANUAL,Manual import of Charge/Credit Cash,DM_DFS_TRN_CCC_MN,Charge/Credit Cash - Active - manual,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CH_CR_CASH_N,,,,,DFS_CASH_CCC_MN,,,,,
4,TRN_CCC_MANUAL,Manual import of Charge/Credit Cash,DM_ARCHIVE_CCC,Archive file,File Operation - Move File,,,,,,,,,DFS_CASH_CCC_MF,DFS_CASH_CCC_MT,,,,
1,TRN_CCS_BASIS,Import of CCS Basis (TM),TRN_CCS_BASIS_O,Import of CCS Basis to TM - Open,Data Import - Execute,,,,TRN_CCS_BASIS_O,,TRN_CCS_BASIS_O,TRN_CCS_BASIS_O,TRN_CCS_BASIS_O,TRN_CCS_BASIS_O,,,,,
2,TRN_CCS_BASIS,Import of CCS Basis (TM),TRN_CCS_BASIS_N,Import of CCS Basis to TM - Novation,Data Import - Execute,,,,TRN_CCS_BASIS_N,,TRN_CCS_BASIS_N,TRN_CCS_BASIS_N,TRN_CCS_BASIS_N,TRN_CCS_BASIS_N,,,,,
3,TRN_CCS_BASIS,Import of CCS Basis (TM),TRN_CCS_BASIS_C,Import of CCS Basis to TM - Close,Data Import - Execute,,,,TRN_CCS_BASIS_C,,TRN_CCS_BASIS_C,TRN_CCS_BASIS_C,TRN_CCS_BASIS_C,TRN_CCS_BASIS_C,,,,,
1,TRN_CCS_FI_FI,Import of CCS Fix/Fix (TM),TRN_CCS_FI_FI_O,Import of CCS Fix/Fix to TM - Open,Data Import - Execute,,,,TRN_CCS_FI_FI_O,,TRN_CCS_FI_FI_O,TRN_CCS_FI_FI_O,TRN_CCS_FI_FI_O,TRN_CCS_FI_FI_O,,,,,
2,TRN_CCS_FI_FI,Import of CCS Fix/Fix (TM),TRN_CCS_FI_FI_N,Import of CCS Fix/Fix to TM - Novation,Data Import - Execute,,,,TRN_CCS_FI_FI_N,,TRN_CCS_FI_FI_N,TRN_CCS_FI_FI_N,TRN_CCS_FI_FI_N,TRN_CCS_FI_FI_N,,,,,
3,TRN_CCS_FI_FI,Import of CCS Fix/Fix (TM),TRN_CCS_FI_FI_C,Import of CCS Fix/Fix to TM - Close,Data Import - Execute,,,,TRN_CCS_FI_FI_C,,TRN_CCS_FI_FI_C,TRN_CCS_FI_FI_C,TRN_CCS_FI_FI_C,TRN_CCS_FI_FI_C,,,,,
1,TRN_CCS_FI_FL,Import of CCS Fix/Float (TM),TRN_CCS_FI_FL_O,Import of CCS Fix/Float to TM - Open,Data Import - Execute,,,,TRN_CCS_FI_FL_O,,TRN_CCS_FI_FL_O,TRN_CCS_FI_FL_O,TRN_CCS_FI_FL_O,TRN_CCS_FI_FL_O,,,,,
2,TRN_CCS_FI_FL,Import of CCS Fix/Float (TM),TRN_CCS_FI_FL_N,Import of CCS Fix/Float to TM - Novation,Data Import - Execute,,,,TRN_CCS_FI_FL_N,,TRN_CCS_FI_FL_N,TRN_CCS_FI_FL_N,TRN_CCS_FI_FL_N,TRN_CCS_FI_FL_N,,,,,
3,TRN_CCS_FI_FL,Import of CCS Fix/Float (TM),TRN_CCS_FI_FL_C,Import of CCS Fix/Float to TM - Close,Data Import - Execute,,,,TRN_CCS_FI_FL_C,,TRN_CCS_FI_FL_C,TRN_CCS_FI_FL_C,TRN_CCS_FI_FL_C,TRN_CCS_FI_FL_C,,,,,
