ID,Name,Parent ID,Parent Name,Object Type,Path Name
47254568,Copy_To_Direct_and_Archive,47254555,DM_REF_MP_EDM_IMPORT_1,Reference,PROD/Plans/DM_REF_MP_EDM_IMPORT_1/Copy_To_Direct_and_Archive
47254569,DM_REF_MP_EDM_IMPORT_1,47254556,DM_REF_MP_EDM_IMPORT_1,Reference,PROD/Triggered_Plans/DM_REF_MP_EDM_IMPORT_1/DM_REF_MP_EDM_IMPORT_1
47254570,DM_REF_MP_EDM_IMPORT_2,47254557,DM_REF_MP_EDM_IMPORT_2,Reference,PROD/Triggered_Plans/DM_REF_MP_EDM_IMPORT_2/DM_REF_MP_EDM_IMPORT_2
47254571,DM_REF_MP_TXN_EXPORT_1,47254557,DM_REF_MP_EDM_IMPORT_2,Reference,PROD/Triggered_Plans/DM_REF_MP_EDM_IMPORT_2/DM_REF_MP_TXN_EXPORT_1
48380882,Check_BatchJob_Log,12250122,TRN_EXT_CL_TRD,Reference,PROD/Jobs/TRN_EXT_CL_TRD/Check_BatchJob_Log
48382474,Check_BatchJob_Log,12250142,TRN_FUT,Reference,PROD/Jobs/TRN_FUT/Check_BatchJob_Log
48383898,Check_BatchJob_Log,12250126,TRN_CASH,Reference,PROD/Jobs/TRN_CASH/Check_BatchJob_Log
49187245,DM_COPY_NT_CASH_PMT,49187239,DM_COPY_NT_CASH_PMT,Reference,PROD/Plans/DM_COPY_NT_CASH_PMT/DM_COPY_NT_CASH_PMT
49187247,DM_COPY_NT_CASH_PMT,49187240,DM_COPY_NT_CASH_PMT,Reference,PROD/Scheduled_Plans/DM_COPY_NT_CASH_PMT/DM_COPY_NT_CASH_PMT
49210025,REF_SMF,49210020,DM_EXT_EDM_SMF,Reference,PROD/Scheduled_Plans/DM_EXT_EDM_SMF/REF_SMF
49210026,DM_REF_EXTRACTS,49210020,DM_EXT_EDM_SMF,Reference,PROD/Scheduled_Plans/DM_EXT_EDM_SMF/DM_REF_EXTRACTS
49210027,DM_STP_MKT_DATA,49210021,DM_STP_MKT_DATA,Reference,PROD/Jobs/DM_STP_MKT_DATA/DM_STP_MKT_DATA
49210028,DM_STP_MKT_DATA,49210022,DM_STP_MKT_DATA,Reference,PROD/Plans/DM_STP_MKT_DATA/DM_STP_MKT_DATA
49210029,DM_STP_MKT_DATA,49210023,DM_STP_MKT_DATA,Reference,PROD/Scheduled_Plans/DM_STP_MKT_DATA/DM_STP_MKT_DATA
49215712,DM_COPY_NT_CASH_PMT,49187238,DM_COPY_NT_CASH_PMT,Reference,PROD/Jobs/DM_COPY_NT_CASH_PMT/DM_COPY_NT_CASH_PMT
49215713,Copy_To_SFTP_and_Archive,49187239,DM_COPY_NT_CASH_PMT,Reference,PROD/Plans/DM_COPY_NT_CASH_PMT/Copy_To_SFTP_and_Archive
49219308,DM_REF_SEC_ALL,49219224,DM_REF_SEC_ALL,Reference,PROD/Scheduled_Plans/DM_REF_SEC_ALL/DM_REF_SEC_ALL
51612713,DM_REF_EXTRACTS,51612631,SCD_EXTRACTS_POST_DWH,Reference,PROD/Constraint_Triggered_Plans/SCD_EXTRACTS_POST_DWH/DM_REF_EXTRACTS
51612792,REF_SMF,51612631,SCD_EXTRACTS_POST_DWH,Reference,PROD/Constraint_Triggered_Plans/SCD_EXTRACTS_POST_DWH/REF_SMF
51786007,WAIT_DWH_LOAD_PLAN,51612631,SCD_EXTRACTS_POST_DWH,Reference,PROD/Constraint_Triggered_Plans/SCD_EXTRACTS_POST_DWH/WAIT_DWH_LOAD_PLAN
51787336,WAIT_SCD_PERF_DAILY_1,51787312,SCD_PERF_DAILY_2,Reference,PROD/Constraint_Triggered_Plans/SCD_PERF_DAILY_2/WAIT_SCD_PERF_DAILY_1
51787337,WAIT_SCD_PERF_DAILY_2,51787313,SCD_PERF_REP_DAILY_1,Reference,PROD/Constraint_Triggered_Plans/SCD_PERF_REP_DAILY_1/WAIT_SCD_PERF_DAILY_2
51787338,WAIT_SCD_PERF_DAILY_3,51787315,SCD_PERF_REP_DAILY_2,Reference,PROD/Constraint_Triggered_Plans/SCD_PERF_REP_DAILY_2/WAIT_SCD_PERF_DAILY_3
51787340,PERF_DAILY_1,51787311,SCD_PERF_DAILY_1,Reference,PROD/Constraint_Triggered_Plans/SCD_PERF_DAILY_1/PERF_DAILY_1
51787341,PERF_DAILY_2,51787312,SCD_PERF_DAILY_2,Reference,PROD/Constraint_Triggered_Plans/SCD_PERF_DAILY_2/PERF_DAILY_2
